name;link;character_name;film_id;film_title
John Hauk;/actor/john-hauk/;Low Rider;46759;Cobra
Nick Angotti;/actor/nick-angotti/;Prodski;46759;Cobra
Brad Bovee;/actor/brad-bovee/;Innocent Bystander;46759;Cobra
Kevin Breslin;/actor/kevin-breslin/;Supermarket Kid;46759;Cobra
Roger Aaron Brown;/actor/roger-aaron-brown/;Policeman #2;46759;Cobra
John Cahill;/actor/john-cahill/;Father of Blonde Girl;46759;Cobra
Louise Caire Clark;/actor/louise-caire-clark/;Woman in Car;46759;Cobra
Christine Craft;/actor/christine-craft/;TV News Reporter;46759;Cobra
Gregory Cruz;/actor/gregory-cruz/;Janitor;46759;Cobra
Deborah Dalton;/actor/deborah-dalton/;Nurse #2;46759;Cobra
Scott Dockstader;/actor/scott-dockstader/;Killer #2;46759;Cobra
Laura Drake;/actor/laura-drake/;Murdered Waitress;46759;Cobra
Karen Kondazian;/actor/karen-kondazian/;Nurse;46759;Cobra
Dorothy Meyer;/actor/dorothy-meyer/;Nurse #1;46759;Cobra
Clare Torao;/actor/clare-torao/;Reporter #2;46759;Cobra
Julie Hampton;/actor/julie-hampton/;Policewoman (uncredited);46759;Cobra
Helen Kelly;/actor/helen-kelly-1/;News Reporter #8 (uncredited);46759;Cobra
Ron Jeremy;/actor/ron-jeremy-1/;Extra (uncredited);46759;Cobra
